XBE Token,https://coinmarketcap.com/currencies/xbe-token/,154159
ETH Price Action Candlestick Set,https://coinmarketcap.com/currencies/eth-price-action-candlestick-set/,147572
TAMA EGG NiftyGotchi,https://coinmarketcap.com/currencies/tama-egg-niftygotchi/,137968
XMON,https://coinmarketcap.com/currencies/xmon/,129221
Grace Period Token,https://coinmarketcap.com/currencies/grace-period-token/,126388
EDDASwap,https://coinmarketcap.com/currencies/eddaswap/,113044
Gold BCR,https://coinmarketcap.com/currencies/gold-bcr/,98449
Decurian,https://coinmarketcap.com/currencies/decurian/,96077
3X Long Cardano Token,https://coinmarketcap.com/currencies/3x-long-cardano-token/,91340
ETH/BTC RSI Ratio Trading Set,https://coinmarketcap.com/currencies/eth-btc-rsi-ratio-trading-set/,90879
Beefy.Finance,https://coinmarketcap.com/currencies/beefy-finance/,89686
ETH RSI 60/40 Crossover Set,https://coinmarketcap.com/currencies/eth-rsi-60-40-crossover-set/,84940
ETH RSI 60/40 Yield Set,https://coinmarketcap.com/currencies/eth-rsi-60-40-yield-set/,84187
NFTX Hashmasks Index,https://coinmarketcap.com/currencies/nftx-hashmasks-index/,83607
1x Long Bitcoin Implied Volatility Token,https://coinmarketcap.com/currencies/1x-long-bitcoin-implied-volatility-token/,82454
Auto,https://coinmarketcap.com/currencies/auto/,80203
NVIDIA tokenized stock FTX,https://coinmarketcap.com/currencies/nvidia-tokenized-stock-ftx/,79545
iETH,https://coinmarketcap.com/currencies/ieth/,78550
Tesla tokenized stock Bittrex,https://coinmarketcap.com/currencies/tesla-tokenized-stock-bittrex/,68197
Mirrored Tesla,https://coinmarketcap.com/currencies/mirrored-tesla/,67804
Compound Wrapped BTC,https://coinmarketcap.com/currencies/compound-wrapped-btc/,66371
Tesla tokenized stock FTX,https://coinmarketcap.com/currencies/tesla-tokenized-stock-ftx/,66170
Venus BTC,https://coinmarketcap.com/currencies/venus-btc/,66152
YFDAI.FINANCE,https://coinmarketcap.com/currencies/yfdai-finance/,64803
NFT Index,https://coinmarketcap.com/currencies/nft-index/,64767
Whiteheart,https://coinmarketcap.com/currencies/whiteheart/,64628
Zero Utility Token,https://coinmarketcap.com/currencies/zero-utility-token/,60086
LINK/ETH RSI Ratio Trading Set,https://coinmarketcap.com/currencies/link-eth-rsi-ratio-trading-set/,57429
MicroStrategy tokenized stock FTX,https://coinmarketcap.com/currencies/microstrategy-tokenized-stock-ftx/,57025
Netflix tokenized stock FTX,https://coinmarketcap.com/currencies/netflix-tokenized-stock-ftx/,55154
Netflix tokenized stock Bittrex,https://coinmarketcap.com/currencies/netflix-tokenized-stock-bittrex/,54975
Mirrored Netflix,https://coinmarketcap.com/currencies/mirrored-netflix/,54898
Goatcoin,https://coinmarketcap.com/currencies/goatcoin/,52015
Meme,https://coinmarketcap.com/currencies/degenerator-meme/,51737
Low Orbit Crypto Cannon,https://coinmarketcap.com/currencies/low-orbit-crypto-cannon/,49913
STARK CHAIN,https://coinmarketcap.com/currencies/stark-chain/,49910
Evolution Finance,https://coinmarketcap.com/currencies/evolution-finance/,49395
3X Long Ethereum Token,https://coinmarketcap.com/currencies/3x-long-ethereum-token/,49278
Olympus,https://coinmarketcap.com/currencies/olympus/,48436
COPS FINANCE,https://coinmarketcap.com/currencies/cops-finance/,48350
Refract,https://coinmarketcap.com/currencies/refract/,47739
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,47348
LINK Profit Taker Set,https://coinmarketcap.com/currencies/link-profit-taker-set/,45227
Cyclone Protocol,https://coinmarketcap.com/currencies/cyclone-protocol/,44952
SPDR S&P 500 ETF tokenized stock Bittrex,https://coinmarketcap.com/currencies/spdr-sp-500-etf-tokenized-stock-bittrex/,44135
SPDR S&P 500 ETF tokenized stock FTX,https://coinmarketcap.com/currencies/spdr-sp-500-etf-tokenized-stock-ftx/,43622
BTC Network Demand Set II,https://coinmarketcap.com/currencies/btc-network-demand-set-ii/,41765
Compound,https://coinmarketcap.com/currencies/compound/,40926
DEJAVE,https://coinmarketcap.com/currencies/dejave/,40819
Primalbase Token,https://coinmarketcap.com/currencies/primalbase/,40763
Monavale,https://coinmarketcap.com/currencies/monavale/,39735
growth Root Token,https://coinmarketcap.com/currencies/growth-root-token/,38933
DigixDAO,https://coinmarketcap.com/currencies/digixdao/,38561
QuickSwap,https://coinmarketcap.com/currencies/quickswap/,36782
Mirrored Invesco QQQ Trust,https://coinmarketcap.com/currencies/mirrored-invesco-qqq-trust/,36653
3X Long BNB Token,https://coinmarketcap.com/currencies/3x-long-bnb-token/,35612
Honey,https://coinmarketcap.com/currencies/honey-token/,35539
Mirrored Facebook Inc,https://coinmarketcap.com/currencies/mirrored-facebook/,35535
Facebook tokenized stock Bittrex,https://coinmarketcap.com/currencies/facebook-tokenized-stock-bittrex/,35441
Facebook tokenized stock FTX,https://coinmarketcap.com/currencies/facebook-tokenized-stock-ftx/,34853
